Descricao;Unidade
CABO FLEXIVEL 10MM;MT
CABO FLEXIVEL 16MM;MT
CABO FLEXIVEL 6MM;MT
CABO FLEXIVEL 4MM;MT
CABO FLEXIVEL 2.5MM;MT
DISJUNTOR BIPOLAR 40A;PC
DISJUNTOR BIPOLAR 32A;PC
DISJUNTOR BIPOLAR 50A;PC
DISJUNTOR UNIPOLAR 20A;PC
DISJUNTOR TRIPOLAR 40A;PC
ABRACADEIRA D CHAVETA / **SOMENTE A CUNHA**;PC
ABRACADEIRA D CHAVETA / CUNHA 1/2;PC
ABRACADEIRA D CHAVETA / CUNHA 3/4;PC
ABRACADEIRA D CHAVETA / CUNHA 1;PC
ABRACADEIRA D CHAVETA / CUNHA 1 1/4;PC
ABRACADEIRA D CHAVETA / CUNHA 1 1/2;PC
ABRACADEIRA D CHAVETA / CUNHA 2;PC
ABRACADEIRA D CHAVETA / CUNHA 2 1/2 *ENCOMENDA*;PC
ABRACADEIRA D CHAVETA / CUNHA 3;PC
ABRACADEIRA D CHAVETA / CUNHA 4;PC
ABRACADEIRA D C/ PARAFUSO 3/4;PC
ABRACADEIRA D C/ PARAFUSO 1;PC
ABRACADEIRA D C/ PARAFUSO 1 1/4;PC
ABRACADEIRA D C/ PARAFUSO 1 1/2;PC
ABRACADEIRA D C/ PARAFUSO 2;UN
ABRACADEIRA D C/ PARAFUSO 2 1/2 *ENCOMENDA*;UN
ABRACADEIRA D C/ PARAFUSO 3;PC
ABRACADEIRA D C/ PARAFUSO 4;MT
ABRACADEIRA NYLON - SUPORTE TM-25 BEGE;PC
ABRACADEIRA NYLON - UNIDADE - BR;PC
ABRACADEIRA NYLON 100X2.5MM - 100 UN - BR;PCT
ABRACADEIRA NYLON 100X2.5MM - 100 UN - PT;PCT
ABRACADEIRA NYLON 150X2.5MM - 100 UN - PT;PCT
ABRACADEIRA NYLON 150X3.5MM - 100 UN - BR;PCT
ABRACADEIRA NYLON 150X3.5MM - 100 UN - PT;PCT
ABRACADEIRA NYLON 200X2.5MM - 100 UN - BR;PCT
ABRACADEIRA NYLON 200X2.5MM - 100 UN - PT;PCT
ABRACADEIRA NYLON 200X3.6MM - 100 UN - BR;PCT
ABRACADEIRA NYLON 200X3.6MM - 100 UN - PT;PCT
ABRACADEIRA NYLON 200X4.6MM - 100 UN - PT;PCT
ABRACADEIRA NYLON 300X3.6MM - 100 UN - PT;PC
ABRACADEIRA NYLON 300X4.8MM - 100 UN - BR;PCT
ABRACADEIRA NYLON 300X4.8MM - 100 UN - PT;PCT
ABRACADEIRA NYLON 300X7.2MM - 100 UN - BR;PCT
ABRACADEIRA NYLON 350X4.8MM - 50 UN - BR;PCT
ABRACADEIRA NYLON 350X4.8MM - 50 UN - PT;PCT
ABRACADEIRA NYLON 380X7.6MM - 50 UN - BR;PCT
ABRACADEIRA NYLON 400X4.8MM - 50 UN - BR;PCT
ABRACADEIRA NYLON 400X4.8MM - 50 UN - PT;PCT
ABRACADEIRA NYLON 450X7.6MM - 50 UN - BR;PCT
ABRACADEIRA NYLON 450X7.6MM - 50 UN - PT;PCT
ABRACADEIRA NYLON 580X7.6MM - 50 UN - PT;PCT
ABRACADEIRA P/ FLUOR. T5;PC
ABRACADEIRA P/ FLUOR. T8;PC
ABRACADEIRA ROSCA SEM FIM 12/16MM;PC
ABRACADEIRA ROSCA SEM FIM 19/25MM;PC
ABRACADEIRA ROSCA SEM FIM 38/51MM;PC
ABRACADEIRA TIPO U VERGALHÃO - 2;PC
ABRACADEIRA U - 1 1/4;PC
ABRACADEIRA U - 1/2;PC
ABRACADEIRA U - 3/4;PC
ABRACADEIRA U - 1 1/2;PC
ABRACADEIRA U - 1;PC
ABRACADEIRA U - 2;PC
ABRACADEIRA U - 2 1/2 *ENCOMENDA*;PC
ABRACADEIRA U - 3;PC
ABRACADEIRA U - 4;PC
ACABAMENTO - PASSA FIO PR (INT54MM X EXT.59MM);UN
ACOPLAMENTO TOM INDUSTRIAL 16A 2P+T 6H ( AZUL / VERMELHO );PC
ACOPLAMENTO TOM INDUSTRIAL 16A 3P+T 6H ( AZUL / VERMELHO );PC
ACOPLAMENTO TOM INDUSTRIAL 32A 2P+T 6H ( AZUL / VERMELHO );PC
ACOPLAMENTO TOM INDUSTRIAL 32A 3P+T 6H ( AZUL / VERMELHO );PC
ACOPLAMENTO TOM INDUSTRIAL 32A 3P+T 9H ( VERMELHO );PC
ACOPLAMENTO TOM INDUSTRIAL 63A 3P+T 6H ( AZUL / VERMELHO );UN
ACOPLAMENTO TOM INDUSTRIAL 63A 3P+T+N 9H ( AZUL / VERMELHO );UN
ACRILICO - POLICARBONATO PROTEÇÃO QUADRO DE MONTAGEM ( 2000 X 2000 X 4MM );PC
ACRILICO - POLICARBONATO PROTEÇÃO QUADRO DE MONTAGEM ( 400 X 400 X 5MM );PC
ADESIVO - ANTI IMPACTO TECKBOND (GOTA19.1MM - 6PC);UN
ALARME - KIT ALARME 4 PONTOS INTELBRAS;PC
ALARME - CENTRAL AMT 2018 INTELBRAS;PC
ALARME - DISCADORA (CENTRAL X CELULAR);PC
ALARME - RECEPTOR INTELBRAS UNIVERSSAL 433;PC
ALARME - RECEPTOR DEISPOSITIVO SEM FIO 2 CANAIS XAR 4000 - INTELBRAS;PC
ALARME - SENSOR ABERTURA PORTA/JANELA SEM FIO - INTELBRAS;PC
ALARME - SENSOR INFRA **SEM FIO** 8000 PET INTELBRAS;PC
ALARME - SENSOR INFRA IVP 3000 C/ FIO - INTELBRAS;PC
ALARME - SENSOR MAGNETICO **C/ FIO** XAS;PC
ALARME - SIRENE BITONAL 120DB ** 12V ** - BR;PC
ALARME - SIRENE BITONAL 120DB ** 12V ** - PT;PC
ALARME - TECLADO P/ CENTRAIS LCD - INTELBRAS;PC
ALAVANCA ROT. SOPRANO DLE 800/1250/1600-H;UN
ALCA PREFORMADA LACO P/ MULTIPLEX 10MM;PC
ALCA PREFORMADA LACO P/ MULTIPLEX 16MM;PC
ALCA PREFORMADA LACO P/ MULTIPLEX 25MM;PC
ALCA PREFORMADA LACO P/ MULTIPLEX 35MM;PC
ALCA PREFORMADA LACO P/ MULTIPLEX 50MM;PC
ALCA PREFORMADA LACO P/ MULTIPLEX 70MM;PC
ALCA PREFORMADA LACO P/ MULTIPLEX 95 MM;PC
ALCA PREFORMADA LACO P/ MULTIPLEX 120MM;PC
ALEGORIAS NATAL - BONECO DE NEVE;PC
ALEGORIAS NATAL - BONECO DE NEVE 2;PC
ALEGORIAS NATAL - PAPAI NOEL - 3 MT;PC
ALEGORIAS NATAL - PAPAI NOEL SENTADO 1;PC
ALEGORIAS NATAL - PAPAI NOEL SENTADO 4M;PC
ALEGORIAS NATAL - PRESEPIO 10 UND;PC
ALEGORIAS NATAL - PRESEPIO 9 UND;PC
ALEGORIAS NATAL - SOLDADINHO DE CHUMBO;PC
ALEGORIAS NATAL - TRENÓ DO PAPAI NOEL - 5 PCS;PC
ALTA TENSAO - ABRACADEIRA FIXACAO CABOS 16MM;PCT
ALTA TENSAO - ABRACADEIRA FIXACAO CABOS 35MM;PCT
ALTA TENSAO - AFASTADOR DE ARMAÇÃO TIPO C 500X900;PC
ALTA TENSAO - ALÇA PREF CABO DE AÇO 5/16;UN
ALTA TENSAO - ALÇA PREF DISTRIB CABO 2AWG 7.6 A 8.27;UN
ALTA TENSAO - ALCA PREFORMADA P/ CABO COBERTO 15KV - 70MM2;UN
ALTA TENSAO - ALCA PREFORMADA P/ ENCABECAMENTO 3/8;PC
ALTA TENSAO - ALCA PREFORMADA TANGENTE 120MM2;PC
ALTA TENSAO - ALCA PREFORMADA TANGENTE 35MM2;PC
ALTA TENSAO - ALCA PREFORMADA TANGENTE 70MM2;PC
ALTA TENSAO - ANEL DE AMARRACAO PARA ESPACADOR LOSANGULAR 15/35KV - CZ - 90 X 140;PC
ALTA TENSAO - ANEL DE AMARRACAO PARA ISOLADOR POLIMERICO 15KV - VM - 110 X 160 - AN-02  PLP;UN
ALTA TENSAO - BRACO ANTI BALANCO 15KV;PC
ALTA TENSAO - BRACO SUPORTE TIPO C;PC
ALTA TENSAO - CABO ACO MR 9.5 3/8 - 7 FIOS;MT
ALTA TENSAO - CABO ALUMINIO COBERTO 35MM;MT
ALTA TENSAO - CABO COBRE COBERTO 16MM 15KV;MT
ALTA TENSAO - CABO COBRE COBERTO 25MM 15KV;MT
ALTA TENSAO - CABO COBRE COBERTO 35MM 15KV;MT
ALTA TENSAO - CAPA ISOL. P/CONECTOR CUNHA 15KV GD. -;UN
ALTA TENSAO - CAPA ISOL. P/CONECTOR CUNHA 15KV PQ. -;UN
ALTA TENSAO - CAPA ISOL. P/CONECTOR CUNHA 15KV PQ. -PQ. - CAEP-100;UN
ALTA TENSAO - CARTUCHO METALICO P/ CONECTOR CUNHA;UN
ALTA TENSAO - CHAVE CORTA CIRCUITO 15KV - C/ FERRAGENS (100A-300A);PC
ALTA TENSAO - CHAVE CORTA CIRCUITO 15KV - S/ FERRAGENS (100A-300A);PC
ALTA TENSAO - CHAVE FUSIVEL 100A (10KA) 15KV S/SUPORTE;PC
ALTA TENSAO - CHAVE FUSIVEL POLIMERICA 100A (10KA) 15KV BASE C;PC
ALTA TENSAO - COBERTURA CONECTOR CUNHA CN-10;UN
ALTA TENSAO - COBERTURA P/ CONECTOR DE CUNHA;PC
ALTA TENSAO - COBERTURA P/ TERMINAIS DE EQUIPAMENTOS;PC
ALTA TENSAO - COBERTURA P/BUCHA DO TRANSFORMADOR;PC
ALTA TENSAO - COBERTURA P/CONECTOR BUCHA;PC
ALTA TENSAO - COBERTURA PROTETORA P/GRAMPO LINHA VIVA E CONECTOR C/ESTRIBO 15/25/35KV;UN
ALTA TENSAO - CONECTOR COMPRESSAO CAH35 A 35 ALUMINIO;UN
ALTA TENSAO - CONECTOR CUNHA ALM. 70MM C/ ESTRIBO;PC
ALTA TENSAO - CONECTOR CUNHA ALM. CABO 4 - 2;UN
ALTA TENSAO - CONECTOR CUNHA ATERRAMENTO;UN
ALTA TENSAO - CONECTOR CUNHA CN-10;UN
ALTA TENSAO - CONECTOR CUNHA CN-11;PC
ALTA TENSAO - CONECTOR CUNHA CN-12;UN
ALTA TENSAO - CONECTOR CUNHA CN-13;PC
ALTA TENSAO - CONECTOR CUNHA CN-14;PC
ALTA TENSAO - CONECTOR DE ALUMINIO 4 DERIVACOES C/;UN
ALTA TENSAO - CONECTOR GARRA LINHA VIVA 16X70MM;PC
ALTA TENSAO - CONJUNTO DE ATERRAMENTO TEMPORARIO CABINE/SUBSTAÇÃO ATE 15KV;PC
ALTA TENSAO - CRUZETA DE CONCRETO 400 DAN - 2.40M;PC
ALTA TENSAO - CRUZETA DE FIBRA DE VIDRO 2000X90X90MM;PC
ALTA TENSAO - CRUZETA POLIMERICA 90 X 90 X 2400MM;PC
ALTA TENSAO - DETECTOR DE ALTA/MEDIA/BAIXA TENSÃO DE 50V ATÉ 138KV - MINIPA HV138;PC
ALTA TENSAO - ESPACADOR LOSANGULAR 15KV;PC
ALTA TENSAO - ESTRIBO ALUM.;PC
ALTA TENSAO - ESTRIBO PARA BRACO L;PC
ALTA TENSAO - FIO COBERTO PARA AMARRACAO;MT
ALTA TENSAO - FIO COBRE NU MEIO DURA 1X16MM;KG
ALTA TENSAO - FIXADOR DE PERFIL U 178 X 76 MM;PC
ALTA TENSAO - FUSIVEL HH MEDIA 32A - 15KV;PC
ALTA TENSAO - GANCHO SUSPENSAO OLHAL - 50KN;PC
ALTA TENSAO - GRAMPO ANC CABO COBERTO 35MM 15KV;PC
ALTA TENSAO - GRAMPO DE ANCORAGEM UNIVERSAL;PC
ALTA TENSAO - GRAMPO PARALELO GPB49-1 BRONZE 10-2/0;PC
ALTA TENSAO - HASTE TERRA CANTONEIRA 3/16 X 2400MM;PC
ALTA TENSAO - ISOLADOR DE ANCORAGEM POLIMERICO 15KV;PC
ALTA TENSAO - ISOLADOR PINO POLIMERICO;PC
ALTA TENSAO - ISOLADOR PINO POLIMERICO 15KV;PC
ALTA TENSAO - LUVA DE ESTRIBO 2 A 4AWG;PC
ALTA TENSAO - MANILHA SAPATILHA 04 AWG A477MCM;PC
ALTA TENSAO - MANTA DE REPARO 200X400MM PAD2230 3M;MT
ALTA TENSAO - MÃO FRANCESA 5X32X619MM;PC
ALTA TENSAO - MÃO FRANCESA PLANA FURO OBLONGO 619MM;PC
ALTA TENSAO - PARA RAIO POLIMERICO 12KV/10KA;PC
ALTA TENSAO - PARA RAIO POLIMERICO 15KV/10KA;PC
ALTA TENSAO - PARA RARIO - KIT 3PC POLIMERICO 12KV/10KA;PC
ALTA TENSAO - PARAFUSO ROSCA DUPLA 16X 500 C/ 4 PORCAS;UN
ALTA TENSAO - PARAFUSO ROSCA DUPLA 16X 550 C/ 4 PORCAS;UN
